Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-A2-A1G1-01	6.67E-02	3.34E-01	5.22E-01	7.83E-01	8.81E-01	4.31E-01	8.79E-01	7.53E-01	7.91E-01	7.74E-01
TCGA-A2-A1G6-01	1.89E-01	0.00E+00	2.64E-01	9.69E-02	3.97E-01	1.77E-01	3.80E-01	2.85E-01	1.69E-01	3.64E-01
TCGA-A2-A259-01	2.59E-01	5.80E-01	4.86E-01	6.97E-01	6.26E-01	3.69E-01	6.42E-01	7.70E-01	4.90E-01	4.42E-01
TCGA-A2-A25A-01	1.11E+00	1.72E+00	9.59E-01	2.24E+00	8.55E-01	3.47E-01	1.30E+00	9.06E-01	1.50E+00	1.92E+00
TCGA-A2-A25B-01	4.20E-01	7.45E-01	1.21E+00	2.21E+00	1.61E+00	1.19E+00	1.91E+00	1.81E+00	1.57E+00	1.80E+00
TCGA-A2-A25C-01	1.62E-01	3.92E-01	2.08E-01	5.92E-01	8.01E-01	7.28E-01	1.05E+00	5.34E-01	6.70E-01	1.44E+00
TCGA-A2-A25D-01	4.56E-01	6.12E-01	6.14E-01	1.09E+00	1.40E+00	9.72E-01	1.02E+00	1.10E+00	1.02E+00	1.18E+00
TCGA-A2-A25E-01	2.48E-01	5.72E-01	5.16E-01	7.70E-01	8.67E-01	7.90E-01	1.13E+00	9.95E-01	8.38E-01	1.00E+00
TCGA-A2-A25F-01	0.00E+00	0.00E+00	0.00E+00	1.91E-01	3.46E-01	0.00E+00	3.39E-01	2.69E-01	1.24E-01	3.44E-01
TCGA-A2-A3KD-01	0.00E+00	3.08E-01	5.28E-01	3.48E-01	4.19E-01	4.95E-01	2.68E-01	5.70E-01	3.33E-01	3.33E-02
TCGA-A2-A3XT-01	1.53E+00	6.68E-01	6.96E-01	1.88E+00	1.82E+00	8.67E-01	2.22E+00	1.64E+00	9.17E-01	1.83E+00
TCGA-A2-A3XU-01	0.00E+00	1.31E-01	7.35E-01	3.48E-01	6.78E-01	4.90E-01	6.62E-01	8.65E-01	5.79E-01	2.67E-01
TCGA-A2-A3XV-01	0.00E+00	0.00E+00	9.55E-01	5.63E-01	1.37E+00	7.02E-01	7.77E-01	8.38E-01	9.11E-01	8.75E-01
