Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-D8-A1J9-01	0	0	0	0	0	0	2
TCGA-D8-A1JB-01	0	0	0	2	0	1	0
TCGA-D8-A1JC-01	1	0	0	2	0	0	0
TCGA-D8-A1JD-01	0	0	0	9	0	0	0
TCGA-D8-A1JE-01	0	0	0	0	0	0	1
TCGA-D8-A1JF-01	2	0	0	0	0	4	0
TCGA-D8-A1JG-01	1	0	0	5	0	1	0
TCGA-D8-A1JH-01	0	3	0	0	0	0	0
TCGA-D8-A1JI-01	0	0	0	0	0	0	1
TCGA-D8-A1JK-01	0	0	0	0	0	0	29
TCGA-D8-A1JL-01	0	0	0	2	0	0	2
TCGA-D8-A1JM-01	0	0	0	0	0	0	2
TCGA-D8-A1JN-01	0	0	0	0	0	0	4
TCGA-D8-A1JP-01	0	0	0	6	0	2	0
TCGA-D8-A1JS-01	3	0	0	0	0	0	0
TCGA-D8-A1JT-01	0	0	0	4	0	0	0
TCGA-D8-A1JU-01	0	0	0	0	0	0	1
TCGA-D8-A1X5-01	4	0	0	0	0	0	0
TCGA-D8-A1X6-01	0	0	0	0	0	0	6
TCGA-D8-A1X9-01	0	0	0	3	0	0	0
TCGA-D8-A1XA-01	0	0	0	2	0	0	3
TCGA-D8-A1XB-01	0	0	0	3	0	0	0
TCGA-D8-A1XC-01	0	0	0	1	0	0	0
TCGA-D8-A1XF-01	1	0	0	0	3	0	0
TCGA-D8-A1XG-01	0	0	0	4	0	0	0
TCGA-D8-A1XK-01	9	57	47	0	0	0	0
TCGA-D8-A1XL-01	0	0	0	4	0	4	0
TCGA-D8-A1XM-01	0	0	0	0	0	0	2
TCGA-D8-A1XQ-01	0	46	43	0	0	0	41
TCGA-D8-A1XR-01	1	0	0	2	0	0	0
TCGA-D8-A1XS-01	0	0	0	0	0	1	0
TCGA-D8-A1XT-01	0	0	0	0	0	2	0
TCGA-D8-A1XU-01	0	0	0	1	0	2	0
TCGA-D8-A1XV-01	0	0	0	0	0	1	0
TCGA-D8-A1XW-01	0	0	0	5	0	0	0
TCGA-D8-A1XY-01	0	0	0	0	0	0	2
TCGA-D8-A1XZ-01	0	1	0	4	0	0	0
TCGA-D8-A1Y0-01	0	0	0	2	0	0	0
TCGA-D8-A1Y1-01	0	15	18	0	0	0	15
TCGA-D8-A1Y3-01	2	0	0	0	0	0	0
TCGA-D8-A27E-01	0	0	0	3	0	0	0
