Samples	ID83A	ID83B
TCGA-C8-A130-01	1.82E-01	1.82E-01
TCGA-C8-A131-01	2.43E-01	2.43E-01
TCGA-C8-A132-01	1.47E-01	1.47E-01
TCGA-C8-A133-01	1.02E-01	1.02E-01
TCGA-C8-A134-01	1.19E-01	1.19E-01
TCGA-C8-A135-01	1.80E-01	1.80E-01
TCGA-C8-A137-01	0.00E+00	0.00E+00
TCGA-C8-A138-01	1.42E-01	1.42E-01
TCGA-C8-A1HE-01	0.00E+00	0.00E+00
TCGA-C8-A1HF-01	1.67E-01	1.67E-01
TCGA-C8-A1HG-01	1.28E-01	1.28E-01
TCGA-C8-A1HI-01	0.00E+00	0.00E+00
TCGA-C8-A1HJ-01	2.11E-01	2.11E-01
TCGA-C8-A1HK-01	0.00E+00	0.00E+00
TCGA-C8-A1HL-01	6.31E-02	6.31E-02
TCGA-C8-A1HM-01	0.00E+00	0.00E+00
TCGA-C8-A1HN-01	0.00E+00	0.00E+00
TCGA-C8-A1HO-01	0.00E+00	0.00E+00
TCGA-C8-A26V-01	0.00E+00	0.00E+00
TCGA-C8-A26W-01	0.00E+00	0.00E+00
TCGA-C8-A26X-01	2.48E-01	2.48E-01
TCGA-C8-A26Y-01	0.00E+00	0.00E+00
TCGA-C8-A26Z-01	1.77E-01	1.77E-01
TCGA-C8-A273-01	0.00E+00	0.00E+00
TCGA-C8-A274-01	4.63E-02	4.63E-02
TCGA-C8-A275-01	0.00E+00	0.00E+00
TCGA-C8-A278-01	0.00E+00	0.00E+00
TCGA-C8-A27B-01	0.00E+00	0.00E+00
TCGA-C8-A3M7-01	1.45E-01	1.45E-01
TCGA-C8-A3M8-01	1.45E-01	1.45E-01
TCGA-C8-A8HP-01	1.60E-01	1.60E-01
TCGA-C8-A8HQ-01	2.24E-01	2.24E-01
TCGA-C8-A8HR-01	1.33E-01	1.33E-01
TCGA-C8-A9FZ-01	1.91E-01	1.91E-01
TCGA-D8-A13Y-01	0.00E+00	0.00E+00
TCGA-D8-A13Z-01	0.00E+00	0.00E+00
TCGA-D8-A140-01	3.34E-01	3.34E-01
TCGA-D8-A141-01	1.21E-01	1.21E-01
TCGA-D8-A142-01	2.46E-01	2.46E-01
TCGA-D8-A143-01	2.61E-01	2.61E-01
TCGA-D8-A145-01	2.26E-01	2.26E-01
TCGA-D8-A146-01	1.49E-01	1.49E-01
TCGA-D8-A147-01	2.24E-01	2.24E-01
TCGA-D8-A1J8-01	2.75E+00	2.75E+00
TCGA-D8-A1J9-01	0.00E+00	0.00E+00
TCGA-D8-A1JB-01	1.50E-01	1.50E-01
TCGA-D8-A1JC-01	0.00E+00	0.00E+00
TCGA-D8-A1JD-01	2.12E-01	2.12E-01
TCGA-D8-A1JE-01	0.00E+00	0.00E+00
TCGA-D8-A1JF-01	2.90E-01	2.90E-01
TCGA-D8-A1JG-01	4.63E-02	4.63E-02
TCGA-D8-A1JH-01	1.43E-01	1.43E-01
TCGA-D8-A1JI-01	0.00E+00	0.00E+00
TCGA-D8-A1JK-01	3.44E-01	3.44E-01
TCGA-D8-A1JL-01	1.89E-01	1.89E-01
TCGA-D8-A1JM-01	0.00E+00	0.00E+00
TCGA-D8-A1JN-01	0.00E+00	0.00E+00
TCGA-D8-A1JP-01	2.52E-01	2.52E-01
TCGA-D8-A1JS-01	1.30E-01	1.30E-01
TCGA-D8-A1JT-01	1.51E-01	1.51E-01
TCGA-D8-A1JU-01	0.00E+00	0.00E+00
TCGA-D8-A1X5-01	0.00E+00	0.00E+00
TCGA-D8-A1X6-01	1.66E-01	1.66E-01
TCGA-D8-A1X9-01	1.59E-01	1.59E-01
TCGA-D8-A1XA-01	0.00E+00	0.00E+00
TCGA-D8-A1XB-01	1.48E-01	1.48E-01
TCGA-D8-A1XC-01	0.00E+00	0.00E+00
TCGA-D8-A1XF-01	1.55E-01	1.55E-01
TCGA-D8-A1XG-01	0.00E+00	0.00E+00
TCGA-D8-A1XK-01	1.96E+00	1.96E+00
TCGA-D8-A1XL-01	3.42E-01	3.41E-01
TCGA-D8-A1XM-01	0.00E+00	0.00E+00
TCGA-D8-A1XQ-01	2.59E+00	2.59E+00
TCGA-D8-A1XR-01	0.00E+00	0.00E+00
TCGA-D8-A1XS-01	0.00E+00	0.00E+00
TCGA-D8-A1XT-01	0.00E+00	0.00E+00
TCGA-D8-A1XU-01	1.66E-01	1.60E-01
TCGA-D8-A1XV-01	0.00E+00	0.00E+00
TCGA-D8-A1XW-01	1.55E-01	1.55E-01
TCGA-D8-A1XY-01	0.00E+00	0.00E+00
TCGA-D8-A1XZ-01	1.48E-01	1.48E-01
TCGA-D8-A1Y0-01	0.00E+00	0.00E+00
TCGA-D8-A1Y1-01	1.52E+00	1.52E+00
TCGA-D8-A1Y3-01	0.00E+00	0.00E+00
TCGA-D8-A27E-01	0.00E+00	0.00E+00
TCGA-D8-A27F-01	8.84E-02	8.84E-02
TCGA-D8-A27G-01	1.46E-01	1.46E-01
TCGA-D8-A27H-01	1.57E-01	1.57E-01
TCGA-D8-A27I-01	1.11E-01	1.11E-01
TCGA-D8-A27K-01	0.00E+00	0.00E+00
TCGA-D8-A27L-01	0.00E+00	0.00E+00
TCGA-D8-A27M-01	0.00E+00	0.00E+00
TCGA-D8-A27N-01	0.00E+00	0.00E+00
TCGA-D8-A27R-01	0.00E+00	0.00E+00
TCGA-D8-A27T-01	0.00E+00	0.00E+00
TCGA-D8-A27V-01	0.00E+00	0.00E+00
TCGA-D8-A27W-01	0.00E+00	0.00E+00
TCGA-D8-A3Z6-01	1.14E-01	1.14E-01
TCGA-D8-A73U-01	1.52E-01	1.52E-01
TCGA-D8-A73W-01	1.59E-01	1.59E-01
TCGA-D8-A73X-01	1.96E-01	1.96E-01
TCGA-E2-A105-01	4.63E-02	4.63E-02
TCGA-E2-A107-01	1.95E-01	1.95E-01
TCGA-E2-A108-01	0.00E+00	0.00E+00
TCGA-E2-A109-01	1.62E-01	1.62E-01
TCGA-E2-A10A-01	1.49E-01	1.49E-01
TCGA-E2-A10B-01	0.00E+00	0.00E+00
TCGA-E2-A10C-01	0.00E+00	0.00E+00
TCGA-E2-A10F-01	0.00E+00	0.00E+00
TCGA-E2-A14N-01	0.00E+00	0.00E+00
TCGA-E2-A14O-01	1.48E-01	1.48E-01
TCGA-E2-A14P-01	0.00E+00	0.00E+00
TCGA-E2-A14Q-01	1.70E-01	1.70E-01
TCGA-E2-A14R-01	2.30E-01	2.30E-01
