Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
TCGA-A7-A6VY-01	1.08E-01	1.68E-01	1.19E-01	4.63E-02	3.33E-02	6.67E-02	6.67E-02	0.00E+00	2.30E-01	1.89E-01	1.32E-01	1.90E-01	1.04E-01
TCGA-A8-A075-01	2.13E-01	2.63E-01	2.12E-01	2.25E-01	3.33E-02	1.62E-01	0.00E+00	7.93E-02	2.74E-01	1.17E-01	1.21E-01	9.69E-02	1.57E-01
TCGA-AC-A23C-01	4.63E-02	1.36E-01	1.96E-01	1.04E-01	0.00E+00	1.94E-01	0.00E+00	0.00E+00	1.96E-01	2.73E-01	3.12E-01	2.35E-01	1.71E-01
TCGA-AC-A23E-01	3.33E-02	3.33E-02	7.93E-02	0.00E+00	0.00E+00	6.67E-02	0.00E+00	0.00E+00	7.35E-02	5.57E-02	1.43E-01	9.69E-02	7.35E-02
TCGA-AC-A23H-01	1.77E-01	1.93E-01	2.48E-01	1.40E-01	2.70E-01	4.77E-01	6.67E-02	2.65E-01	4.48E-01	3.83E-01	3.92E-01	5.02E-01	3.83E-01
TCGA-AC-A2B8-01	3.33E-02	0.00E+00	4.63E-02	0.00E+00	0.00E+00	6.67E-02	3.33E-02	0.00E+00	5.57E-02	1.86E-01	1.77E-01	4.63E-02	6.67E-02
TCGA-AC-A2BK-01	1.96E-01	3.31E-01	1.45E-01	2.42E-01	1.04E-01	2.69E-01	2.74E-01	2.03E-01	2.25E-01	0.00E+00	2.18E-01	2.69E-01	1.54E-01
TCGA-AC-A2BM-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-AC-A2FF-01	0.00E+00	1.04E-01	1.08E-01	1.21E-01	0.00E+00	0.00E+00	6.67E-02	0.00E+00	1.04E-01	1.84E-01	1.86E-01	1.28E-01	1.19E-01
TCGA-AC-A2FG-01	0.00E+00	6.67E-02	0.00E+00	0.00E+00	0.00E+00	1.30E-01	1.24E-01	3.33E-02	1.73E-01	9.69E-02	0.00E+00	1.00E-01	1.33E-01
TCGA-AC-A2FO-01	1.39E-01	0.00E+00	4.63E-02	3.33E-02	0.00E+00	4.63E-02	3.33E-02	0.00E+00	1.78E-01	1.56E-01	1.23E-01	1.57E-01	1.64E-01
TCGA-AC-A2QH-01	1.47E-01	1.47E-01	9.69E-02	1.00E-01	0.00E+00	0.00E+00	6.67E-02	0.00E+00	1.89E-01	3.28E-01	3.43E-01	1.24E-01	1.84E-01
TCGA-AC-A3HN-01	0.00E+00	3.33E-02	4.63E-02	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.85E-02	6.31E-02	8.51E-02	3.33E-02	6.92E-02
TCGA-AC-A3OD-01	0.00E+00	7.35E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.67E-02	1.11E-01	1.64E-01	1.11E-01	0.00E+00
TCGA-AC-A3QP-01	0.00E+00	0.00E+00	8.84E-02	6.67E-02	0.00E+00	4.63E-02	3.33E-02	0.00E+00	6.31E-02	1.45E-01	8.84E-02	8.42E-02	9.77E-02
TCGA-AC-A3QQ-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-AC-A3W5-01	1.00E-01	0.00E+00	3.51E-01	2.30E-01	3.33E-02	3.33E-02	2.06E-01	3.33E-02	2.57E-01	2.95E-01	2.08E-01	2.83E-01	1.41E-01
TCGA-AC-A3YI-01	0.00E+00	0.00E+00	5.57E-02	0.00E+00	0.00E+00	0.00E+00	3.33E-02	3.33E-02	6.31E-02	7.85E-02	5.57E-02	5.57E-02	8.21E-02
