Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-AR-A24Q-01	15	9	20	0	13	0	0	0	41	80	19	0	35	0
TCGA-AR-A24R-01	1	0	0	9	0	6	0	0	0	0	0	10	0	0
TCGA-AR-A24S-01	6	4	0	13	0	11	0	11	0	0	12	0	0	0
TCGA-AR-A24T-01	1	0	2	9	0	0	3	6	0	0	3	0	0	0
TCGA-AR-A24U-01	6	6	5	7	6	0	4	5	0	0	5	0	0	0
TCGA-AR-A24V-01	1	2	3	10	2	4	6	0	0	0	0	0	0	0
TCGA-AR-A24W-01	0	0	0	0	1	0	2	0	4	0	3	0	0	4
TCGA-AR-A24X-01	0	0	0	4	0	5	8	8	5	0	4	0	0	0
TCGA-AR-A24Z-01	3	3	0	12	3	0	3	0	0	10	0	12	0	10
TCGA-AR-A250-01	14	34	24	28	11	0	21	12	0	0	11	0	0	0
TCGA-AR-A251-01	6	27	0	12	0	17	0	0	0	51	17	56	19	0
TCGA-AR-A252-01	0	0	0	9	0	4	0	0	0	0	6	0	0	0
TCGA-AR-A254-01	3	0	0	9	0	0	7	12	0	0	11	0	0	0
TCGA-AR-A255-01	11	10	10	9	0	8	10	0	0	0	8	0	23	0
TCGA-AR-A256-01	9	8	13	7	19	9	6	5	8	54	3	46	13	24
TCGA-AR-A2LE-01	106	70	58	0	96	0	36	0	0	0	28	0	0	0
TCGA-AR-A2LH-01	14	5	14	5	15	0	7	0	0	0	11	0	0	0
TCGA-AR-A2LK-01	3	0	0	15	5	6	0	7	0	0	4	8	0	0
TCGA-AR-A2LL-01	0	0	0	6	0	0	3	20	0	0	0	0	8	0
TCGA-AR-A2LM-01	0	0	0	0	2	0	3	3	0	0	0	0	0	9
TCGA-AR-A2LN-01	9	3	3	7	11	0	6	0	0	0	15	0	0	0
TCGA-AR-A2LO-01	2	0	3	4	0	0	2	0	0	0	2	4	0	0
TCGA-AR-A2LQ-01	0	0	0	4	0	0	0	0	0	0	0	9	0	0
TCGA-AR-A2LR-01	0	0	0	10	0	0	5	7	9	0	4	22	13	0
TCGA-AR-A5QM-01	0	0	0	7	0	0	3	10	0	0	5	11	0	0
TCGA-AR-A5QN-01	4	0	0	17	0	0	6	0	14	0	8	0	0	0
TCGA-AR-A5QP-01	3	0	0	5	0	7	3	11	0	0	5	0	0	0
TCGA-AR-A5QQ-01	4	6	0	9	6	0	0	0	14	24	0	0	0	33
TCGA-B6-A0I1-01	4	0	0	0	3	0	10	45	0	18	0	0	0	0
TCGA-B6-A0IH-01	0	0	0	11	0	0	4	0	11	0	6	0	0	9
TCGA-B6-A0RH-01	7	6	0	0	7	0	3	22	0	0	0	0	0	0
TCGA-B6-A0RL-01	10	5	0	19	4	0	5	0	8	0	0	0	0	18
TCGA-B6-A0RM-01	5	0	0	7	0	0	2	8	10	0	4	0	0	0
TCGA-B6-A0RN-01	1	0	0	9	2	0	3	9	9	0	0	0	0	0
TCGA-B6-A0RO-01	3	0	0	0	0	0	11	0	12	0	0	17	0	0
TCGA-B6-A0RP-01	0	0	0	7	0	0	0	0	0	0	6	17	0	0
TCGA-B6-A0RQ-01	7	3	0	6	11	6	3	5	0	0	5	10	0	0
TCGA-B6-A0RT-01	3	6	18	8	0	0	0	0	0	15	0	22	0	0
TCGA-B6-A0RU-01	3	0	0	9	6	9	9	0	0	10	0	0	0	12
TCGA-B6-A0RV-01	17	12	12	0	8	0	4	14	0	0	0	0	0	0
TCGA-B6-A0WS-01	1	1	0	2	1	6	0	0	0	0	0	0	0	7
TCGA-B6-A0WT-01	0	0	0	5	2	6	5	0	0	0	0	0	4	0
TCGA-B6-A0WV-01	0	4	0	0	3	0	0	8	10	0	3	0	0	9
TCGA-B6-A0WW-01	5	4	0	10	5	6	4	0	0	0	0	0	13	0
TCGA-B6-A0WX-01	0	2	0	7	0	8	6	10	0	0	0	0	12	0
TCGA-B6-A0WY-01	5	2	0	5	0	0	6	0	17	0	0	0	0	0
TCGA-B6-A0WZ-01	34	11	17	0	18	0	7	0	0	0	8	0	0	0
TCGA-B6-A0X0-01	1	0	0	3	1	0	3	0	0	0	0	0	7	10
TCGA-B6-A0X1-01	2	10	4	0	7	12	9	0	9	12	7	20	0	0
TCGA-B6-A0X4-01	0	0	0	3	0	0	8	0	0	0	4	0	7	0
TCGA-B6-A0X5-01	2	0	0	0	3	8	12	0	0	0	0	0	23	0
TCGA-B6-A0X7-01	2	1	0	2	3	0	3	8	4	0	0	0	0	0
TCGA-B6-A1KN-01	0	3	0	8	3	0	0	8	11	0	12	0	27	0
TCGA-B6-A2IU-01	11	0	0	9	0	0	15	0	10	0	9	0	0	0
TCGA-B6-A401-01	0	1	0	5	0	0	3	0	8	0	0	6	0	5
TCGA-B6-A409-01	3	0	5	12	0	0	4	10	0	0	7	15	0	0
TCGA-B6-A40B-01	9	0	7	10	3	0	0	0	7	0	14	16	0	0
TCGA-B6-A40C-01	2	0	0	10	3	0	0	25	0	0	4	0	10	0
TCGA-BH-A0AU-01	1	0	4	3	0	0	0	7	6	0	2	0	0	0
TCGA-BH-A0AV-01	3	8	4	0	3	8	0	0	11	14	8	28	0	0
TCGA-BH-A0AY-01	4	0	3	4	0	0	10	12	0	0	0	0	13	0
TCGA-BH-A0AZ-01	11	0	11	0	0	0	0	0	0	0	9	0	15	24
TCGA-BH-A0B0-01	30	16	6	5	24	0	18	0	0	0	0	0	0	0
TCGA-BH-A0B3-01	1	1	0	6	1	0	0	0	0	5	0	0	4	0
TCGA-BH-A0B6-01	355	261	281	0	191	0	94	0	0	0	108	0	0	0
TCGA-BH-A0B7-01	3	6	0	10	0	0	9	0	0	0	4	10	0	0
TCGA-BH-A0B8-01	3	0	0	0	7	0	0	6	10	0	0	0	8	0
TCGA-BH-A0BA-01	4	3	0	3	0	0	0	3	6	0	2	0	0	8
TCGA-BH-A0BC-01	5	3	0	8	6	0	4	8	0	0	0	0	0	11
TCGA-BH-A0BF-01	1	7	0	5	0	0	4	4	5	0	0	7	0	0
TCGA-BH-A0BG-01	5	3	0	7	0	0	0	0	0	15	0	15	0	0
TCGA-BH-A0BJ-01	0	0	0	0	2	0	2	4	3	0	0	0	6	0
TCGA-BH-A0BL-01	0	3	0	9	0	0	6	10	0	20	0	0	21	0
TCGA-BH-A0BM-01	2	0	0	2	0	0	0	0	0	0	3	6	6	0
TCGA-BH-A0BO-01	0	0	6	3	0	10	4	4	4	0	0	0	0	0
TCGA-BH-A0BP-01	14	28	0	22	10	0	22	13	14	22	27	24	0	0
TCGA-BH-A0BQ-01	3	0	0	6	0	0	3	3	5	0	0	0	10	0
TCGA-BH-A0BS-01	1	0	0	4	0	0	0	0	0	0	2	10	0	6
TCGA-BH-A0BT-01	3	0	0	13	5	0	4	0	0	0	4	0	0	19
TCGA-BH-A0BV-01	2	0	2	2	0	0	0	5	0	0	9	4	0	0
TCGA-BH-A0BW-01	8	0	10	0	0	0	6	16	18	15	0	0	0	30
TCGA-BH-A0BZ-01	10	26	2	11	9	14	2	6	37	75	14	33	52	5
TCGA-BH-A0C0-01	3	0	0	6	0	11	3	0	0	19	6	0	0	0
TCGA-BH-A0C1-01	6	0	0	11	3	0	0	0	22	0	0	8	0	0
TCGA-BH-A0C3-01	0	0	0	0	0	6	2	10	0	0	0	0	0	0
TCGA-BH-A0C7-01	0	4	0	6	0	0	6	26	16	0	0	0	0	0
TCGA-BH-A0DD-01	3	3	0	12	3	7	4	5	0	0	0	0	0	0
TCGA-BH-A0DE-01	1	0	0	0	3	0	0	10	0	0	4	15	0	0
TCGA-BH-A0DG-01	5	8	4	0	4	0	13	0	13	0	0	0	0	0
TCGA-BH-A0DH-01	9	0	4	10	0	0	5	8	8	0	8	0	0	0
