MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Ins:T:3	4.66E-03	1.42E-02	6.32E-03	3.24E-06	7.50E-03	2.81E-03	2.46E-03	8.26E-03	1.90E-03	4.50E-03	2.68E-03	8.91E-03	5.82E-03
1:Ins:T:4	3.77E-03	4.32E-03	3.71E-04	2.10E-06	1.81E-06	2.02E-03	7.83E-04	3.16E-06	7.93E-04	3.52E-03	3.46E-04	3.04E-03	1.91E-03
1:Ins:T:5	4.02E-09	4.15E-06	1.02E-06	1.65E-06	4.74E-07	1.06E-06	1.09E-02	2.56E-06	8.00E-03	3.32E-03	1.32E-02	1.69E-02	5.11E-02
2:Del:R:0	3.33E-07	1.01E-06	1.05E-06	4.66E-07	8.22E-07	4.28E-08	2.79E-03	5.30E-07	1.10E-02	3.10E-03	2.96E-02	1.06E-06	1.19E-06
2:Del:R:1	2.41E-03	2.33E-03	5.29E-03	3.05E-06	1.30E-06	2.03E-03	3.82E-04	1.85E-06	1.39E-03	3.98E-03	2.27E-03	3.55E-03	3.78E-03
2:Del:R:2	1.81E-06	9.33E-04	2.94E-06	2.17E-06	3.38E-04	2.36E-06	2.53E-07	1.74E-06	6.90E-07	3.50E-04	8.36E-05	2.13E-04	1.29E-04
2:Del:R:3	5.04E-04	2.22E-06	7.42E-04	2.18E-06	2.01E-06	3.26E-06	2.81E-07	1.62E-06	1.30E-04	1.78E-04	1.91E-04	3.83E-04	2.01E-04
2:Del:R:4	1.33E-06	1.68E-04	2.69E-06	1.85E-06	2.12E-06	5.27E-04	2.46E-07	1.46E-06	4.74E-04	3.13E-04	5.54E-04	3.07E-04	1.55E-06
2:Del:R:5	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
3:Del:R:0	7.86E-04	1.29E-05	4.39E-03	5.92E-04	9.81E-06	9.75E-03	6.50E-03	6.77E-05	7.50E-03	4.47E-02	1.57E-02	8.99E-03	1.53E-04
3:Del:R:1	1.56E-06	1.47E-06	1.10E-03	9.87E-04	2.06E-06	2.70E-06	7.81E-04	2.41E-04	1.97E-06	2.37E-03	1.08E-03	2.96E-03	1.95E-03
3:Del:R:2	2.21E-06	5.16E-04	2.65E-06	1.80E-04	8.11E-04	2.59E-04	5.92E-05	1.58E-06	2.34E-04	2.49E-04	3.57E-04	1.12E-03	4.18E-04
3:Del:R:3	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
3:Del:R:4	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
3:Del:R:5	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
4:Del:R:0	1.55E-02	2.42E-03	7.66E-06	1.34E-06	9.19E-04	6.37E-03	7.37E-04	2.93E-06	8.53E-03	1.58E-02	8.50E-03	1.67E-02	1.58E-02
4:Del:R:1	1.70E-06	2.23E-06	1.83E-04	5.61E-06	1.96E-06	1.99E-06	1.50E-04	1.66E-06	1.82E-04	5.59E-04	3.60E-04	1.07E-03	2.74E-04
4:Del:R:2	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
4:Del:R:3	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
4:Del:R:4	1.81E-06	2.39E-06	3.08E-06	2.47E-06	2.37E-06	2.35E-06	2.83E-07	1.92E-06	3.33E-07	9.49E-07	9.55E-07	1.41E-06	1.51E-06
