Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-C8-A133-01	0	7	0	0	26	0
TCGA-C8-A134-01	8	0	0	56	38	15
TCGA-C8-A135-01	8	0	38	0	18	13
TCGA-C8-A137-01	16	15	13	0	18	0
TCGA-C8-A138-01	0	0	17	0	35	0
TCGA-C8-A1HE-01	13	29	12	0	0	0
TCGA-C8-A1HF-01	7	10	8	7	2	5
TCGA-C8-A1HG-01	4	7	31	17	0	10
TCGA-C8-A1HI-01	10	8	22	0	32	0
TCGA-C8-A1HJ-01	15	0	10	75	0	24
TCGA-C8-A1HK-01	26	6	14	7	13	7
TCGA-C8-A1HL-01	0	0	10	0	19	8
TCGA-C8-A1HM-01	246	121	23	20	33	5
TCGA-C8-A1HN-01	2	5	24	8	26	5
TCGA-C8-A1HO-01	5	10	8	4	18	4
TCGA-C8-A26V-01	37	22	16	5	7	9
TCGA-C8-A26W-01	15	22	11	9	6	6
TCGA-C8-A26X-01	4	5	28	31	3	4
TCGA-C8-A26Y-01	413	372	0	0	131	0
TCGA-C8-A26Z-01	0	3	25	21	0	0
TCGA-C8-A273-01	0	0	9	0	15	0
TCGA-C8-A274-01	108	138	0	0	0	35
TCGA-C8-A275-01	75	47	20	0	0	0
TCGA-C8-A278-01	8	9	15	1	18	2
TCGA-C8-A27A-01	4	8	10	0	18	0
TCGA-C8-A27B-01	79	0	12	71	0	0
TCGA-C8-A3M7-01	51	135	35	0	0	0
TCGA-C8-A3M8-01	10	5	16	17	0	14
TCGA-C8-A8HP-01	127	124	22	0	0	0
TCGA-C8-A8HQ-01	160	180	32	0	0	0
TCGA-C8-A8HR-01	0	4	17	26	0	13
TCGA-C8-A9FZ-01	4	0	17	8	0	0
TCGA-D8-A13Y-01	11	15	13	23	7	13
TCGA-D8-A13Z-01	17	0	32	54	0	0
TCGA-D8-A140-01	4	31	29	6	44	20
TCGA-D8-A141-01	0	0	9	0	12	0
TCGA-D8-A142-01	16	2	57	51	35	5
TCGA-D8-A143-01	0	0	21	40	0	0
