Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-BH-A0HN-01	0	11	0	23	0
TCGA-BH-A0HP-01	183	174	0	0	0
TCGA-BH-A0RX-01	0	6	0	43	0
TCGA-BH-A0W3-01	2	2	12	6	1
TCGA-BH-A0W4-01	4	12	7	12	4
TCGA-BH-A0W5-01	0	0	9	14	6
TCGA-BH-A0W7-01	143	118	0	0	0
TCGA-BH-A0WA-01	6	24	61	7	15
TCGA-BH-A18F-01	2	35	7	22	1
TCGA-BH-A18G-01	0	0	0	443	1225
TCGA-BH-A18H-01	6	15	11	5	17
TCGA-BH-A18I-01	3	6	0	22	0
TCGA-BH-A18J-01	45	66	0	0	0
TCGA-BH-A18K-01	18	21	15	8	6
TCGA-BH-A18L-01	4	0	17	33	11
TCGA-BH-A18M-01	4	3	0	11	0
TCGA-BH-A18N-01	0	0	0	23	20
TCGA-BH-A18P-01	197	241	0	0	0
TCGA-BH-A18Q-01	7	4	77	8	11
TCGA-BH-A18R-01	2	10	22	3	5
TCGA-BH-A18S-01	4	0	17	4	12
TCGA-BH-A18T-01	14	5	59	9	15
TCGA-BH-A18U-01	43	75	11	28	21
TCGA-BH-A18V-01	88	23	139	0	0
TCGA-BH-A1EO-01	0	10	0	40	0
TCGA-BH-A1ET-01	0	0	13	12	8
TCGA-BH-A1EU-01	1	4	9	9	11
TCGA-BH-A1EV-01	47	43	4	29	6
TCGA-BH-A1EW-01	0	14	0	7	0
TCGA-BH-A1EX-01	0	0	14	21	0
TCGA-BH-A1EY-01	15	5	9	17	9
TCGA-BH-A1F0-01	23	1	47	22	2
TCGA-BH-A1F2-01	10	14	11	30	6
TCGA-BH-A1F5-01	0	10	14	20	0
TCGA-BH-A1F6-01	5	3	15	19	11
TCGA-BH-A1F8-01	67	112	0	13	0
TCGA-BH-A1FC-01	28	18	35	28	21
TCGA-BH-A1FE-01	1	9	10	5	1
TCGA-BH-A1FG-01	0	0	0	13	8
TCGA-BH-A1FH-01	1	7	8	16	1
TCGA-BH-A1FJ-01	0	7	13	25	0
TCGA-BH-A1FL-01	0	7	0	13	6
TCGA-BH-A1FM-01	13	19	0	30	0
TCGA-BH-A1FN-01	59	34	41	3	9
TCGA-BH-A1FR-01	2	0	7	8	0
TCGA-BH-A1FU-01	19	8	45	14	32
TCGA-BH-A201-01	0	7	7	0	13
TCGA-BH-A202-01	1	4	10	9	4
TCGA-BH-A203-01	17	17	4	51	10
