Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-C8-A8HR-01	0	0	15	20	14	11	0
TCGA-C8-A9FZ-01	0	4	17	0	8	0	0
TCGA-D8-A13Y-01	11	8	10	33	6	13	1
TCGA-D8-A13Z-01	0	16	30	0	57	0	0
TCGA-D8-A140-01	27	3	26	24	2	17	35
TCGA-D8-A141-01	0	0	8	0	0	0	13
TCGA-D8-A142-01	0	14	41	29	27	0	55
TCGA-D8-A143-01	3	0	20	0	38	0	0
TCGA-D8-A145-01	0	4	21	0	14	8	0
TCGA-D8-A146-01	6	0	13	13	0	9	0
TCGA-D8-A147-01	14	44	1	46	70	13	12
TCGA-D8-A1J8-01	273	269	114	165	0	140	0
TCGA-D8-A1J9-01	106	100	0	72	0	0	0
TCGA-D8-A1JB-01	5	4	4	2	22	6	20
TCGA-D8-A1JC-01	34	32	13	43	0	0	0
TCGA-D8-A1JD-01	11	16	9	0	53	12	21
TCGA-D8-A1JE-01	0	2	8	0	0	6	24
TCGA-D8-A1JF-01	4	4	13	0	0	10	18
TCGA-D8-A1JG-01	0	0	32	137	0	0	0
TCGA-D8-A1JH-01	2	0	3	0	0	5	14
TCGA-D8-A1JI-01	2	0	0	9	0	8	23
TCGA-D8-A1JJ-01	36	18	17	12	1	8	6
TCGA-D8-A1JK-01	20	10	0	43	62	47	67
TCGA-D8-A1JL-01	0	10	0	27	33	22	35
TCGA-D8-A1JM-01	0	0	11	15	0	0	27
TCGA-D8-A1JN-01	87	44	14	63	0	0	0
TCGA-D8-A1JP-01	0	9	0	49	57	20	0
TCGA-D8-A1JS-01	2	0	7	15	0	5	0
TCGA-D8-A1JT-01	0	0	12	0	9	0	20
TCGA-D8-A1JU-01	1	0	5	0	0	5	9
