Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-C8-A12M-01	2	3	33	22	12	10
TCGA-C8-A12N-01	4	0	12	6	0	5
TCGA-C8-A12O-01	1	4	30	2	12	0
TCGA-C8-A12P-01	65	63	26	10	24	14
TCGA-C8-A12Q-01	43	51	10	0	25	10
TCGA-C8-A12T-01	106	80	13	4	7	4
TCGA-C8-A12U-01	7	4	26	17	6	1
TCGA-C8-A12V-01	4	2	3	15	15	13
TCGA-C8-A12W-01	5	2	51	5	12	2
TCGA-C8-A12X-01	3	2	33	17	2	8
TCGA-C8-A12Y-01	2	2	22	0	0	20
TCGA-C8-A12Z-01	13	13	18	10	2	5
TCGA-C8-A130-01	5	4	33	0	6	6
TCGA-C8-A131-01	0	13	15	14	23	9
TCGA-C8-A132-01	26	9	11	12	22	4
TCGA-C8-A133-01	0	6	0	2	21	4
TCGA-C8-A134-01	8	0	7	62	28	12
TCGA-C8-A135-01	7	3	38	0	16	13
TCGA-C8-A137-01	16	15	13	0	18	0
TCGA-C8-A138-01	0	1	16	6	27	2
TCGA-C8-A1HE-01	11	24	8	7	0	4
TCGA-C8-A1HF-01	7	10	8	7	2	5
TCGA-C8-A1HG-01	4	7	31	17	0	10
TCGA-C8-A1HI-01	9	8	20	0	31	4
TCGA-C8-A1HJ-01	15	0	10	75	0	24
TCGA-C8-A1HK-01	26	6	14	7	13	7
TCGA-C8-A1HL-01	0	1	10	9	10	7
TCGA-C8-A1HM-01	246	121	23	20	33	5
TCGA-C8-A1HN-01	2	5	24	8	26	5
TCGA-C8-A1HO-01	5	10	8	4	18	4
TCGA-C8-A26V-01	37	22	16	5	7	9
TCGA-C8-A26W-01	15	22	11	9	6	6
TCGA-C8-A26X-01	4	5	28	31	3	4
TCGA-C8-A26Y-01	409	368	0	0	119	20
TCGA-C8-A26Z-01	0	3	25	21	0	0
TCGA-C8-A273-01	1	0	9	1	13	0
TCGA-C8-A274-01	105	135	9	6	0	26
TCGA-C8-A275-01	65	42	16	16	0	3
TCGA-C8-A278-01	8	9	15	1	18	2
TCGA-C8-A27A-01	3	8	10	6	13	0
TCGA-C8-A27B-01	74	5	8	63	0	12
TCGA-C8-A3M7-01	47	125	30	11	0	8
TCGA-C8-A3M8-01	10	5	16	17	0	14
TCGA-C8-A8HP-01	124	121	20	0	4	4
TCGA-C8-A8HQ-01	160	179	32	0	0	1
TCGA-C8-A8HR-01	3	3	17	24	0	13
TCGA-C8-A9FZ-01	4	1	14	6	0	4
TCGA-D8-A13Y-01	11	15	13	23	7	13
TCGA-D8-A13Z-01	16	2	30	52	3	0
TCGA-D8-A140-01	4	31	29	6	44	20
TCGA-D8-A141-01	0	0	9	3	9	0
TCGA-D8-A142-01	16	2	57	51	35	5
TCGA-D8-A143-01	2	2	19	36	0	2
TCGA-D8-A145-01	4	0	20	11	2	10
TCGA-D8-A146-01	0	8	15	0	8	10
TCGA-D8-A147-01	50	18	7	99	10	16
TCGA-D8-A1J8-01	309	301	111	15	45	180
TCGA-D8-A1J9-01	126	125	6	0	19	2
TCGA-D8-A1JB-01	4	5	5	16	27	6
TCGA-D8-A1JC-01	38	42	18	13	10	1
TCGA-D8-A1JD-01	16	11	8	49	22	16
TCGA-D8-A1JE-01	2	1	11	3	16	7
TCGA-D8-A1JF-01	3	4	15	10	4	13
TCGA-D8-A1JG-01	10	13	37	0	109	0
TCGA-D8-A1JH-01	0	2	4	0	13	5
TCGA-D8-A1JI-01	0	3	4	0	27	8
TCGA-D8-A1JJ-01	21	37	20	9	0	11
TCGA-D8-A1JK-01	11	24	0	47	120	47
TCGA-D8-A1JL-01	12	3	5	45	39	23
TCGA-D8-A1JM-01	2	2	14	0	35	0
TCGA-D8-A1JN-01	58	110	21	0	19	0
TCGA-D8-A1JP-01	12	5	0	67	33	18
TCGA-D8-A1JS-01	0	3	8	5	9	4
TCGA-D8-A1JT-01	0	0	16	10	14	1
TCGA-D8-A1JU-01	0	2	7	5	0	6
TCGA-D8-A1X5-01	6	3	18	0	28	11
TCGA-D8-A1X6-01	0	3	21	14	0	4
TCGA-D8-A1X7-01	1	3	7	0	21	0
TCGA-D8-A1X9-01	10	0	0	17	56	19
TCGA-D8-A1XA-01	0	2	9	1	11	5
TCGA-D8-A1XB-01	2	9	21	1	7	10
TCGA-D8-A1XC-01	0	3	15	10	0	6
TCGA-D8-A1XF-01	3	4	27	5	10	2
TCGA-D8-A1XG-01	0	2	1	0	13	11
TCGA-D8-A1XK-01	11	6	0	0	120	1163
TCGA-D8-A1XL-01	6	5	8	38	33	20
TCGA-D8-A1XM-01	6	22	16	0	20	0
TCGA-D8-A1XO-01	6	6	7	3	5	2
TCGA-D8-A1XQ-01	32	23	205	153	86	532
TCGA-D8-A1XR-01	0	4	10	2	0	16
TCGA-D8-A1XS-01	1	7	9	0	9	0
TCGA-D8-A1XT-01	3	5	18	16	0	3
TCGA-D8-A1XU-01	3	12	6	11	0	3
TCGA-D8-A1XV-01	4	0	18	1	12	1
TCGA-D8-A1XW-01	11	8	13	55	20	15
TCGA-D8-A1XY-01	1	9	32	8	4	5
TCGA-D8-A1XZ-01	12	0	55	16	11	2
TCGA-D8-A1Y0-01	12	5	8	22	24	10
TCGA-D8-A1Y1-01	4	19	179	0	0	31
TCGA-D8-A1Y2-01	4	9	8	0	0	1
TCGA-D8-A1Y3-01	1	2	43	18	0	3
TCGA-D8-A27E-01	0	1	2	4	4	0
TCGA-D8-A27F-01	12	0	2	20	29	7
TCGA-D8-A27G-01	572	604	0	0	0	0
TCGA-D8-A27H-01	51	10	9	78	0	12
TCGA-D8-A27I-01	4	5	10	0	14	3
TCGA-D8-A27K-01	2	0	10	1	6	2
TCGA-D8-A27L-01	7	23	14	8	1	0
TCGA-D8-A27M-01	14	3	12	46	10	5
TCGA-D8-A27N-01	2	4	29	7	13	5
