Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-BH-A0DE-01	0	2	2	5	0	0	12	12
TCGA-BH-A0DG-01	8	5	0	22	5	0	7	0
TCGA-BH-A0DH-01	3	14	19	0	6	1	9	0
TCGA-BH-A0DI-01	12	11	14	0	2	13	10	0
TCGA-BH-A0DK-01	4	3	9	0	4	13	20	0
TCGA-BH-A0DL-01	6	14	21	0	10	4	0	10
TCGA-BH-A0DO-01	3	3	4	12	4	4	0	0
TCGA-BH-A0DP-01	0	5	2	4	1	4	2	1
TCGA-BH-A0DQ-01	1	1	11	0	4	0	4	14
TCGA-BH-A0DT-01	0	3	7	0	0	2	1	2
TCGA-BH-A0DV-01	0	3	0	0	1	0	0	11
TCGA-BH-A0DX-01	16	31	13	0	0	0	0	17
TCGA-BH-A0DZ-01	102	79	0	36	0	0	0	0
TCGA-BH-A0E0-01	1	0	11	8	0	4	0	0
TCGA-BH-A0E1-01	4	1	4	10	0	0	0	0
TCGA-BH-A0E9-01	0	2	12	0	3	7	4	0
TCGA-BH-A0EA-01	1	3	5	9	4	0	0	10
TCGA-BH-A0EI-01	0	1	7	0	4	0	7	5
TCGA-BH-A0H3-01	0	1	3	0	0	0	0	13
TCGA-BH-A0H5-01	58	66	0	36	0	0	9	0
TCGA-BH-A0H7-01	4	1	4	4	4	0	0	0
TCGA-BH-A0H9-01	0	4	1	2	4	6	0	6
TCGA-BH-A0HA-01	16	24	128	11	186	0	0	17
TCGA-BH-A0HI-01	1	6	10	0	0	0	12	6
TCGA-BH-A0HK-01	8	24	9	18	0	3	1	0
TCGA-BH-A0HN-01	1	4	10	15	0	1	0	3
TCGA-BH-A0HP-01	151	146	0	43	0	0	17	0
TCGA-BH-A0RX-01	1	4	26	16	2	0	0	0
TCGA-BH-A0W3-01	2	2	4	0	1	3	3	8
TCGA-BH-A0W4-01	2	5	1	25	3	3	0	0
TCGA-BH-A0W5-01	1	0	9	7	5	7	0	0
TCGA-BH-A0W7-01	120	115	2	0	6	0	0	18
TCGA-BH-A0WA-01	6	12	5	0	8	34	41	7
TCGA-BH-A18F-01	1	17	10	23	0	0	9	7
TCGA-BH-A18G-01	5	10	492	0	982	0	179	0
TCGA-BH-A18H-01	4	7	1	12	10	0	13	7
TCGA-BH-A18I-01	1	4	14	12	0	0	0	0
TCGA-BH-A18J-01	32	52	6	0	13	8	0	0
TCGA-BH-A18K-01	13	15	3	9	6	4	14	4
TCGA-BH-A18L-01	3	0	23	11	7	4	17	0
TCGA-BH-A18M-01	3	2	7	1	0	0	5	0
TCGA-BH-A18N-01	1	0	14	7	12	3	0	6
TCGA-BH-A18P-01	162	193	4	79	0	0	0	0
TCGA-BH-A18Q-01	8	1	1	10	6	33	10	38
TCGA-BH-A18R-01	2	4	1	6	3	17	9	0
TCGA-BH-A18S-01	3	0	0	9	11	5	9	0
TCGA-BH-A18T-01	12	6	9	1	11	51	6	6
TCGA-BH-A18U-01	31	54	26	0	13	0	19	35
TCGA-BH-A18V-01	69	27	0	6	10	94	41	3
TCGA-BH-A1EO-01	0	7	26	0	0	0	0	17
TCGA-BH-A1ET-01	0	1	9	0	5	8	10	0
TCGA-BH-A1EU-01	1	1	4	9	6	0	0	13
TCGA-BH-A1EV-01	33	30	14	39	5	7	1	0
TCGA-BH-A1EW-01	0	3	0	13	2	0	3	0
TCGA-BH-A1EX-01	0	0	4	23	5	3	0	0
TCGA-BH-A1EY-01	10	4	7	22	7	5	0	0
TCGA-BH-A1F0-01	17	0	1	33	1	1	36	6
TCGA-BH-A1F2-01	8	11	23	0	2	2	18	7
TCGA-BH-A1F5-01	0	4	11	9	0	0	15	5
TCGA-BH-A1F6-01	4	4	17	0	7	19	2	0
TCGA-BH-A1F8-01	51	82	15	0	0	0	39	5
TCGA-BH-A1FC-01	22	16	23	9	14	29	8	9
TCGA-BH-A1FE-01	1	4	2	5	0	0	4	10
TCGA-BH-A1FG-01	1	0	6	6	4	3	1	0
TCGA-BH-A1FH-01	1	3	10	9	0	8	0	2
TCGA-BH-A1FJ-01	0	3	15	0	0	0	9	18
TCGA-BH-A1FL-01	0	2	7	6	3	0	7	1
TCGA-BH-A1FM-01	8	10	14	24	0	6	0	0
TCGA-BH-A1FN-01	45	34	4	0	7	17	0	39
TCGA-BH-A1FR-01	1	0	5	4	2	3	0	2
TCGA-BH-A1FU-01	15	4	3	33	26	18	16	3
TCGA-BH-A201-01	0	2	1	5	10	1	8	0
TCGA-BH-A202-01	0	3	8	0	3	9	5	0
TCGA-BH-A203-01	12	13	33	28	6	0	0	7
TCGA-BH-A204-01	4	2	9	10	4	2	5	16
TCGA-BH-A208-01	20	18	12	10	0	4	12	6
TCGA-BH-A209-01	57	33	0	26	0	0	3	0
TCGA-BH-A28Q-01	2	2	12	0	2	1	0	7
TCGA-BH-A2L8-01	294	321	12	0	0	0	0	1
TCGA-BH-A42U-01	3	12	0	13	0	0	0	4
TCGA-BH-A42V-01	16	24	6	5	0	0	0	4
TCGA-BH-A5IZ-01	6	6	14	0	4	24	34	8
TCGA-BH-A5J0-01	13	39	9	28	6	0	0	7
TCGA-BH-A6R8-01	2	3	11	13	3	5	0	0
TCGA-BH-A6R9-01	0	0	3	8	0	13	1	0
TCGA-BH-A8FY-01	5	3	3	7	5	12	15	6
TCGA-BH-A8FZ-01	6	9	12	0	19	32	0	13
TCGA-BH-A8G0-01	0	0	6	7	4	0	0	0
TCGA-BH-AB28-01	0	7	16	2	11	7	0	0
TCGA-C8-A12K-01	49	13	8	0	14	44	31	14
TCGA-C8-A12L-01	5	3	12	3	3	28	0	35
TCGA-C8-A12M-01	1	0	18	37	10	16	0	0
TCGA-C8-A12N-01	4	0	11	0	3	2	7	0
TCGA-C8-A12O-01	1	2	21	15	0	1	3	6
TCGA-C8-A12P-01	58	54	18	27	8	7	30	0
TCGA-C8-A12Q-01	37	40	0	40	9	0	13	0
TCGA-C8-A12T-01	95	75	15	0	1	6	10	12
TCGA-C8-A12U-01	6	4	21	0	0	5	15	10
TCGA-C8-A12V-01	3	1	2	8	11	9	0	18
TCGA-C8-A12W-01	4	1	38	17	0	5	0	12
TCGA-C8-A12X-01	2	0	25	9	5	0	15	9
TCGA-C8-A12Y-01	1	2	23	1	18	0	0	1
TCGA-C8-A12Z-01	11	10	14	7	2	0	17	0
TCGA-C8-A130-01	4	3	22	18	6	0	0	1
TCGA-C8-A131-01	0	8	6	29	9	10	5	7
TCGA-C8-A132-01	23	9	8	12	3	8	0	21
TCGA-C8-A133-01	0	5	0	2	4	0	15	7
TCGA-C8-A134-01	8	0	6	0	10	45	27	21
TCGA-C8-A135-01	7	4	34	3	11	2	0	16
TCGA-C8-A137-01	13	9	2	38	0	0	0	0
TCGA-C8-A138-01	0	0	12	2	0	0	38	0
TCGA-C8-A1HE-01	9	22	7	0	2	0	0	14
TCGA-C8-A1HF-01	6	10	5	6	4	3	5	0
TCGA-C8-A1HG-01	3	5	25	12	8	6	9	1
TCGA-C8-A1HI-01	9	9	20	0	3	4	0	27
TCGA-C8-A1HJ-01	13	2	10	0	21	71	0	7
TCGA-C8-A1HK-01	23	6	8	17	6	7	0	6
TCGA-C8-A1HL-01	0	0	8	0	6	0	17	6
TCGA-C8-A1HM-01	218	108	8	61	0	4	49	0
TCGA-C8-A1HN-01	1	4	21	0	3	5	31	5
TCGA-C8-A1HO-01	4	9	8	0	2	1	15	10
TCGA-C8-A26V-01	32	21	11	12	8	1	0	11
TCGA-C8-A26W-01	12	16	1	31	6	1	2	0
TCGA-C8-A26X-01	3	4	21	6	2	13	21	5
TCGA-C8-A26Y-01	366	341	0	0	13	0	196	0
TCGA-C8-A26Z-01	0	2	18	7	0	14	8	0
TCGA-C8-A273-01	1	0	6	8	0	3	6	0
TCGA-C8-A274-01	92	124	17	0	18	11	0	19
TCGA-C8-A275-01	57	34	4	41	1	3	2	0
TCGA-C8-A278-01	7	7	11	13	1	9	0	5
TCGA-C8-A27A-01	3	7	6	8	0	3	11	2
TCGA-C8-A27B-01	67	6	1	24	11	53	0	0
TCGA-C8-A3M7-01	39	101	15	54	2	0	10	0
TCGA-C8-A3M8-01	9	4	11	4	11	3	0	20
