Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-C8-A1HO-01	5	10	9	0	0	0	25	0
TCGA-C8-A26V-01	39	23	14	20	0	0	0	0
TCGA-C8-A26W-01	13	17	0	39	0	0	0	0
TCGA-C8-A26X-01	3	4	21	6	2	13	21	5
TCGA-C8-A26Y-01	368	344	0	0	0	0	204	0
TCGA-C8-A26Z-01	0	0	19	12	0	18	0	0
TCGA-C8-A273-01	0	0	7	8	0	0	9	0
TCGA-C8-A274-01	108	146	27	0	0	0	0	0
TCGA-C8-A275-01	58	35	0	49	0	0	0	0
TCGA-C8-A278-01	7	7	12	14	0	13	0	0
TCGA-C8-A27A-01	3	7	6	9	0	0	15	0
TCGA-C8-A27B-01	70	0	0	35	0	57	0	0
TCGA-C8-A3M7-01	40	103	17	61	0	0	0	0
TCGA-C8-A3M8-01	9	5	13	0	12	0	0	23
