Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BH-A1F5-01	2	15	27	0
TCGA-BH-A1F6-01	6	15	17	15
TCGA-BH-A1F8-01	139	11	42	0
TCGA-BH-A1FC-01	35	41	26	28
TCGA-BH-A1FE-01	5	11	10	0
TCGA-BH-A1FG-01	1	4	8	8
TCGA-BH-A1FH-01	3	7	21	2
TCGA-BH-A1FJ-01	0	13	32	0
TCGA-BH-A1FL-01	1	4	16	5
TCGA-BH-A1FM-01	18	6	37	1
TCGA-BH-A1FN-01	76	57	0	13
TCGA-BH-A1FR-01	1	6	6	4
TCGA-BH-A1FU-01	22	49	11	36
TCGA-BH-A201-01	4	8	4	11
TCGA-BH-A202-01	2	10	10	6
TCGA-BH-A203-01	20	7	57	15
TCGA-BH-A204-01	5	21	18	8
TCGA-BH-A208-01	39	18	25	0
TCGA-BH-A209-01	102	9	7	1
TCGA-BH-A28Q-01	1	3	15	7
TCGA-BH-A2L8-01	606	0	22	0
TCGA-BH-A42U-01	18	0	14	0
TCGA-BH-A42V-01	41	0	14	0
TCGA-BH-A5IZ-01	11	51	22	12
TCGA-BH-A5J0-01	58	0	44	0
TCGA-BH-A6R8-01	4	3	23	7
TCGA-BH-A6R9-01	0	14	11	0
TCGA-BH-A8FY-01	8	30	9	9
TCGA-BH-A8FZ-01	13	42	8	28
TCGA-BH-A8G0-01	0	0	12	5
TCGA-BH-AB28-01	4	1	20	18
TCGA-C8-A12K-01	59	89	0	25
TCGA-C8-A12L-01	4	57	18	10
TCGA-C8-A12M-01	0	24	42	16
TCGA-C8-A12N-01	2	6	9	10
TCGA-C8-A12O-01	0	7	42	0
TCGA-C8-A12P-01	115	30	41	16
TCGA-C8-A12Q-01	93	11	31	4
TCGA-C8-A12T-01	169	19	12	14
TCGA-C8-A12U-01	6	19	29	7
TCGA-C8-A12V-01	5	28	2	17
TCGA-C8-A12W-01	0	9	56	12
TCGA-C8-A12X-01	0	14	38	13
TCGA-C8-A12Y-01	1	0	17	28
TCGA-C8-A12Z-01	21	8	25	7
TCGA-C8-A130-01	4	0	38	12
TCGA-C8-A131-01	8	28	31	7
TCGA-C8-A132-01	31	31	9	13
TCGA-C8-A133-01	6	19	6	2
TCGA-C8-A134-01	6	88	6	17
TCGA-C8-A135-01	5	9	37	26
TCGA-C8-A137-01	29	5	28	0
TCGA-C8-A138-01	0	24	23	5
TCGA-C8-A1HE-01	31	4	19	0
TCGA-C8-A1HF-01	14	7	12	6
TCGA-C8-A1HG-01	4	12	39	14
TCGA-C8-A1HI-01	14	18	25	15
TCGA-C8-A1HJ-01	13	80	0	31
TCGA-C8-A1HK-01	28	22	9	14
TCGA-C8-A1HL-01	0	15	11	11
TCGA-C8-A1HM-01	333	79	0	36
TCGA-C8-A1HN-01	2	25	33	10
TCGA-C8-A1HO-01	13	16	16	4
TCGA-C8-A26V-01	53	16	12	15
TCGA-C8-A26W-01	34	8	24	3
TCGA-C8-A26X-01	3	31	36	5
TCGA-C8-A26Y-01	738	129	14	35
TCGA-C8-A26Z-01	0	16	31	2
TCGA-C8-A273-01	0	10	11	3
TCGA-C8-A274-01	224	7	22	28
TCGA-C8-A275-01	99	17	19	7
TCGA-C8-A278-01	13	13	22	5
TCGA-C8-A27A-01	8	15	17	0
TCGA-C8-A27B-01	69	77	0	16
TCGA-C8-A3M7-01	146	0	75	0
TCGA-C8-A3M8-01	12	16	13	21
TCGA-C8-A8HP-01	229	0	44	0
TCGA-C8-A8HQ-01	308	0	64	0
TCGA-C8-A8HR-01	3	22	20	15
TCGA-C8-A9FZ-01	2	3	14	10
TCGA-D8-A13Y-01	23	25	20	14
TCGA-D8-A13Z-01	12	54	29	8
TCGA-D8-A140-01	28	28	55	23
TCGA-D8-A141-01	0	9	12	0
TCGA-D8-A142-01	8	72	67	19
TCGA-D8-A143-01	1	32	21	7
TCGA-D8-A145-01	1	13	17	16
TCGA-D8-A146-01	5	0	24	12
TCGA-D8-A147-01	63	114	0	23
TCGA-D8-A1J8-01	565	44	122	230
TCGA-D8-A1J9-01	234	17	27	0
TCGA-D8-A1JB-01	7	39	10	7
TCGA-D8-A1JC-01	73	14	35	0
TCGA-D8-A1JD-01	24	69	6	23
TCGA-D8-A1JE-01	1	15	12	12
TCGA-D8-A1JF-01	5	10	15	19
TCGA-D8-A1JG-01	13	81	75	0
TCGA-D8-A1JH-01	2	8	7	7
TCGA-D8-A1JI-01	1	18	14	9
TCGA-D8-A1JJ-01	52	3	34	9
TCGA-D8-A1JK-01	32	146	19	52
TCGA-D8-A1JL-01	14	78	6	29
TCGA-D8-A1JM-01	1	26	26	0
TCGA-D8-A1JN-01	148	0	60	0
TCGA-D8-A1JP-01	16	99	0	20
TCGA-D8-A1JS-01	2	9	13	5
TCGA-D8-A1JT-01	0	17	18	6
TCGA-D8-A1JU-01	0	4	8	8
TCGA-D8-A1X5-01	6	22	22	16
TCGA-D8-A1X6-01	0	10	23	9
TCGA-D8-A1X7-01	2	13	17	0
TCGA-D8-A1X9-01	9	68	0	25
TCGA-D8-A1XA-01	0	8	14	6
TCGA-D8-A1XB-01	7	3	26	14
TCGA-D8-A1XC-01	0	8	18	8
TCGA-D8-A1XF-01	2	9	35	5
TCGA-D8-A1XG-01	2	10	1	14
TCGA-D8-A1XK-01	13	134	0	1153
TCGA-D8-A1XL-01	10	66	10	24
TCGA-D8-A1XM-01	25	1	38	0
TCGA-D8-A1XO-01	9	8	7	5
TCGA-D8-A1XQ-01	40	223	112	656
TCGA-D8-A1XR-01	3	0	9	20
TCGA-D8-A1XS-01	5	3	18	0
TCGA-D8-A1XT-01	4	13	25	3
TCGA-D8-A1XU-01	14	8	11	2
TCGA-D8-A1XV-01	2	9	19	6
TCGA-D8-A1XW-01	16	71	14	21
TCGA-D8-A1XY-01	4	4	41	10
TCGA-D8-A1XZ-01	4	19	55	18
TCGA-D8-A1Y0-01	14	44	10	13
TCGA-D8-A1Y1-01	0	0	165	68
TCGA-D8-A1Y2-01	9	0	11	2
TCGA-D8-A1Y3-01	0	11	44	12
TCGA-D8-A27E-01	1	6	4	0
TCGA-D8-A27F-01	12	46	0	12
TCGA-D8-A27G-01	1128	0	48	0
TCGA-D8-A27H-01	56	84	0	20
TCGA-D8-A27I-01	7	9	13	7
TCGA-D8-A27K-01	0	5	11	5
TCGA-D8-A27L-01	25	0	28	0
TCGA-D8-A27M-01	13	58	11	8
TCGA-D8-A27N-01	1	13	35	11
TCGA-D8-A27P-01	1	5	11	13
TCGA-D8-A27R-01	4	18	11	2
TCGA-D8-A27T-01	3	0	20	8
TCGA-D8-A27V-01	177	25	33	0
TCGA-D8-A27W-01	0	0	41	14
TCGA-D8-A3Z6-01	6	6	13	12
TCGA-D8-A4Z1-01	32	0	14	0
TCGA-D8-A73U-01	160	0	47	0
TCGA-D8-A73W-01	2	6	24	20
TCGA-D8-A73X-01	5	3	29	15
TCGA-E2-A105-01	7	18	27	15
TCGA-E2-A107-01	7	4	19	6
TCGA-E2-A108-01	132	35	0	19
